,date,Delhi,Uttar Pradesh,Maharashtra,Rajasthan,Bengal
1163,2019-08-01,7,11,15,7,6
1164,2019-08-02,11,24,3,2,7
1165,2019-08-03,9,7,9,6,7
1166,2019-08-04,0,2,10,1,5
1168,2019-08-06,6,9,5,4,5
1169,2019-08-07,4,7,12,2,7
1170,2019-08-08,9,7,7,9,7
1171,2019-08-09,6,9,5,3,4
1172,2019-08-10,5,8,15,3,11
1173,2019-08-11,4,4,1,2,3
1174,2019-08-12,0,0,0,0,1
1175,2019-08-13,6,5,25,1,19
1176,2019-08-14,17,3,12,8,9
1177,2019-08-15,7,11,15,7,8
1178,2019-08-16,1,5,9,0,3
1179,2019-08-17,17,9,15,8,8
1180,2019-08-18,4,10,3,0,7
1181,2019-08-19,0,0,1,0,0
